"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 05 09:29:31 GMT 2025","Wed Mar 05 09:29:31 GMT 2025","480","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.UpdateAuthorTests","com.bookstore.AuthorsAPI.UpdateAuthorTests","updateAuthor","Update an author",""
"passed","Wed Mar 05 09:29:32 GMT 2025","Wed Mar 05 09:29:33 GMT 2025","494","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.GetSingleAuthorTests","com.bookstore.AuthorsAPI.GetSingleAuthorTests","getNonExistentAuthorById","Get single author",""
"passed","Wed Mar 05 09:29:34 GMT 2025","Wed Mar 05 09:29:35 GMT 2025","932","Surefire suite","Surefire test","com.bookstore.BooksAPI.GetAllBooksTests","com.bookstore.BooksAPI.GetAllBooksTests","getAllBooks","Get all books",""
"passed","Wed Mar 05 09:29:27 GMT 2025","Wed Mar 05 09:29:28 GMT 2025","577","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.PostAuthorTests","com.bookstore.AuthorsAPI.PostAuthorTests","postAuthor","postAuthor",""
"passed","Wed Mar 05 09:29:24 GMT 2025","Wed Mar 05 09:29:27 GMT 2025","3662","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.GetAllAuthorsTests","com.bookstore.AuthorsAPI.GetAllAuthorsTests","getAllAuthors","getAllAuthors",""
"passed","Wed Mar 05 09:29:29 GMT 2025","Wed Mar 05 09:29:29 GMT 2025","482","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.PostAuthorTests","com.bookstore.AuthorsAPI.PostAuthorTests","postAuthorWithoutFirstName","Post author without first name",""
"passed","Wed Mar 05 09:29:32 GMT 2025","Wed Mar 05 09:29:32 GMT 2025","476","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.UpdateAuthorTests","com.bookstore.AuthorsAPI.UpdateAuthorTests","updateFirstNameOfAuthor","Update the first name of an author",""
"passed","Wed Mar 05 09:29:39 GMT 2025","Wed Mar 05 09:29:40 GMT 2025","467","Surefire suite","Surefire test","com.bookstore.BooksAPI.UpdateBookTests","com.bookstore.BooksAPI.UpdateBookTests","updateBookWithInvalidPageCountType","Update page count of book with invalid type",""
"passed","Wed Mar 05 09:29:41 GMT 2025","Wed Mar 05 09:29:41 GMT 2025","455","Surefire suite","Surefire test","com.bookstore.BooksAPI.DeleteBookTests","com.bookstore.BooksAPI.DeleteBookTests","deleteBookByIdInvalidFormat","Delete a book by non-numeric ID - Invalid ID Format",""
"passed","Wed Mar 05 09:29:32 GMT 2025","Wed Mar 05 09:29:32 GMT 2025","488","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.UpdateAuthorTests","com.bookstore.AuthorsAPI.UpdateAuthorTests","updateAuthorWithInvalidIdBookType","Update idBook of an author with invalid type",""
"passed","Wed Mar 05 09:29:30 GMT 2025","Wed Mar 05 09:29:30 GMT 2025","503","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.DeleteAuthorTests","com.bookstore.AuthorsAPI.DeleteAuthorTests","deleteAuthorById","deleteAuthorById",""
"passed","Wed Mar 05 09:29:40 GMT 2025","Wed Mar 05 09:29:40 GMT 2025","457","Surefire suite","Surefire test","com.bookstore.BooksAPI.UpdateBookTests","com.bookstore.BooksAPI.UpdateBookTests","updateTitleOfBook","Update the title of a book",""
"passed","Wed Mar 05 09:29:29 GMT 2025","Wed Mar 05 09:29:30 GMT 2025","491","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.PostAuthorTests","com.bookstore.AuthorsAPI.PostAuthorTests","postAuthorWithoutLastName","Post author without last name",""
"passed","Wed Mar 05 09:29:33 GMT 2025","Wed Mar 05 09:29:33 GMT 2025","483","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.GetSingleAuthorTests","com.bookstore.AuthorsAPI.GetSingleAuthorTests","getSingleAuthorById","Get single author",""
"passed","Wed Mar 05 09:29:36 GMT 2025","Wed Mar 05 09:29:36 GMT 2025","469","Surefire suite","Surefire test","com.bookstore.BooksAPI.PostBookTests","com.bookstore.BooksAPI.PostBookTests","postBookWithoutDescription","Post book without description",""
"passed","Wed Mar 05 09:29:37 GMT 2025","Wed Mar 05 09:29:37 GMT 2025","476","Surefire suite","Surefire test","com.bookstore.BooksAPI.GetSingleBookTests","com.bookstore.BooksAPI.GetSingleBookTests","getNonExistentBookByID","Get single book with non-existent ID",""
"passed","Wed Mar 05 09:29:37 GMT 2025","Wed Mar 05 09:29:38 GMT 2025","489","Surefire suite","Surefire test","com.bookstore.BooksAPI.GetSingleBookTests","com.bookstore.BooksAPI.GetSingleBookTests","getSingleBookByID","Get single book",""
"passed","Wed Mar 05 09:29:28 GMT 2025","Wed Mar 05 09:29:29 GMT 2025","505","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.PostAuthorTests","com.bookstore.AuthorsAPI.PostAuthorTests","postAuthorWithInvalidTypeForBookId","Post author with invalid type for book ID",""
"passed","Wed Mar 05 09:29:38 GMT 2025","Wed Mar 05 09:29:39 GMT 2025","468","Surefire suite","Surefire test","com.bookstore.BooksAPI.UpdateBookTests","com.bookstore.BooksAPI.UpdateBookTests","updateBook","Update a book",""
"passed","Wed Mar 05 09:29:35 GMT 2025","Wed Mar 05 09:29:36 GMT 2025","464","Surefire suite","Surefire test","com.bookstore.BooksAPI.PostBookTests","com.bookstore.BooksAPI.PostBookTests","postBookWithInvalidTypeForPageCount","Post book with invalid type for page count",""
"passed","Wed Mar 05 09:29:39 GMT 2025","Wed Mar 05 09:29:39 GMT 2025","459","Surefire suite","Surefire test","com.bookstore.BooksAPI.UpdateBookTests","com.bookstore.BooksAPI.UpdateBookTests","updateBookSearchingByInvalidIdType","Update book by searching by invalid id type",""
"passed","Wed Mar 05 09:29:35 GMT 2025","Wed Mar 05 09:29:35 GMT 2025","483","Surefire suite","Surefire test","com.bookstore.BooksAPI.PostBookTests","com.bookstore.BooksAPI.PostBookTests","postBookTest","Post a book",""
"passed","Wed Mar 05 09:29:36 GMT 2025","Wed Mar 05 09:29:37 GMT 2025","448","Surefire suite","Surefire test","com.bookstore.BooksAPI.PostBookTests","com.bookstore.BooksAPI.PostBookTests","postBookWithoutPageCount","Post book without page count",""
"passed","Wed Mar 05 09:29:30 GMT 2025","Wed Mar 05 09:29:31 GMT 2025","487","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.DeleteAuthorTests","com.bookstore.AuthorsAPI.DeleteAuthorTests","deleteAuthorByIdInvalidFormat","deleteAuthorByIdInvalidFormat",""
"passed","Wed Mar 05 09:29:33 GMT 2025","Wed Mar 05 09:29:34 GMT 2025","498","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.GetSingleAuthorTests","com.bookstore.AuthorsAPI.GetSingleAuthorTests","getSingleAuthorBySearchingByInvalidIdType","Get single author",""
"passed","Wed Mar 05 09:29:31 GMT 2025","Wed Mar 05 09:29:32 GMT 2025","502","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.UpdateAuthorTests","com.bookstore.AuthorsAPI.UpdateAuthorTests","updateAuthorSearchingByInvalidIdType","Update author by searching by invalid id type",""
"passed","Wed Mar 05 09:29:40 GMT 2025","Wed Mar 05 09:29:41 GMT 2025","466","Surefire suite","Surefire test","com.bookstore.BooksAPI.DeleteBookTests","com.bookstore.BooksAPI.DeleteBookTests","deleteBookById","Delete a book by ID",""
"passed","Wed Mar 05 09:29:38 GMT 2025","Wed Mar 05 09:29:38 GMT 2025","461","Surefire suite","Surefire test","com.bookstore.BooksAPI.GetSingleBookTests","com.bookstore.BooksAPI.GetSingleBookTests","getSingleBookSearchingByInvalidIdType","Get single book with invalid format ID",""
